,wikiID,releaseDate,charactName,name_movie,role_summary_percent,role_importance,comp_active,comp_pasive,comp_attribut
0,975900,2001-08-24,Akooshay,Ghosts of Mars,,,,,
1,975900,2001-08-24,Lieutenant Melanie Ballard,Ghosts of Mars,,,,,
2,975900,2001-08-24,Desolation Williams,Ghosts of Mars,,,,,
3,975900,2001-08-24,Sgt Jericho Butler,Ghosts of Mars,,,,,
4,975900,2001-08-24,Bashira Kincaid,Ghosts of Mars,,,,,
5,975900,2001-08-24,Commander Helena Braddock,Ghosts of Mars,,,,,
6,975900,2001-08-24,Whitlock,Ghosts of Mars,,,,,
7,975900,2001-08-24,Tres,Ghosts of Mars,,,,,
8,975900,2001-08-24,McSimms,Ghosts of Mars,,,,,
9,975900,2001-08-24,Benchley,Ghosts of Mars,,,,,
10,975900,2001-08-24,Rodale,Ghosts of Mars,,,,,
11,2238856,2005-01-01,Richard Swersey,Me and You and Everyone We Know,,,,,
12,2238856,2005-01-01,Christine Jesperson,Me and You and Everyone We Know,,,,,
13,2238856,2005-01-01,Andrew,Me and You and Everyone We Know,,,,,
14,2238856,2005-01-01,Ellen,Me and You and Everyone We Know,,,,,
15,2238856,2005-01-01,Sylvie's Mom,Me and You and Everyone We Know,,,,,
16,612710,1999-10-01,,New Rose Hotel,,,,,
17,612710,1999-10-01,Sandii,New Rose Hotel,,,,,
18,612710,1999-10-01,Fox,New Rose Hotel,,,,,
19,612710,1999-10-01,,New Rose Hotel,,,,,
20,612710,1999-10-01,Madame Rosa,New Rose Hotel,,,,,
21,612710,1999-10-01,,New Rose Hotel,,,,,
22,156558,2001-06-27,Yvette,Baby Boy,,,,,
23,156558,2001-06-27,Jody,Baby Boy,,,,,
24,156558,2001-06-27,,Baby Boy,,,,,
25,156558,2001-06-27,Host,Baby Boy,,,,,
26,156558,2001-06-27,Rodney,Baby Boy,,,,,
27,156558,2001-06-27,Sneed,Baby Boy,,,,,
28,156558,2001-06-27,Patrice,Baby Boy,,,,,
29,156558,2001-06-27,Sharika,Baby Boy,,,,,
30,156558,2001-06-27,Kim,Baby Boy,,,,,
31,156558,2001-06-27,Melvin,Baby Boy,,,,,
32,156558,2001-06-27,Juanita,Baby Boy,,,,,
33,156558,2001-06-27,Sweetpea,Baby Boy,,,,,
34,4951456,1989-01-01,,Kinjite: Forbidden Subjects,,,,,
35,4951456,1989-01-01,,Kinjite: Forbidden Subjects,,,,,
36,4951456,1989-01-01,,Kinjite: Forbidden Subjects,,,,,
37,4951456,1989-01-01,Kathleen Crowe,Kinjite: Forbidden Subjects,,,,,
38,4951456,1989-01-01,,Kinjite: Forbidden Subjects,,,,,
39,4951456,1989-01-01,,Kinjite: Forbidden Subjects,,,,,
40,4951456,1989-01-01,DeeDee,Kinjite: Forbidden Subjects,,,,,
41,12053509,1989-04-28,Harry Bruckner,Loverboy,,,,,
42,12053509,1989-04-28,Randy Bodek,Loverboy,,,,,
43,12053509,1989-04-28,Diane Bodek,Loverboy,,,,,
44,12053509,1989-04-28,Joe Bodek,Loverboy,,,,,
45,12053509,1989-04-28,Jory Talbot,Loverboy,,,,,
46,12053509,1989-04-28,Alex Barnett,Loverboy,,,,,
47,12053509,1989-04-28,Sal,Loverboy,,,,,
48,12053509,1989-04-28,Henry,Loverboy,,,,,
49,12053509,1989-04-28,Kyoko Bruckner,Loverboy,,,,,
50,12053509,1989-04-28,Dr. Reed Palmer,Loverboy,,,,,
51,12053509,1989-04-28,Dr. Joyce Palmer,Loverboy,,,,,
52,12053509,1989-04-28,Claude Delancy,Loverboy,,,,,
53,12053509,1989-04-28,Monica Delancy,Loverboy,,,,,
54,167857,1994-10-01,Fred Fenster,The Usual Suspects,,,,,
55,167857,1994-10-01,Roger 'Verbal' Kint,The Usual Suspects,,,,,
56,167857,1994-10-01,Sgt. Jeffrey 'Jeff' Rabin,The Usual Suspects,,,,,
57,167857,1994-10-01,Jack Baer,The Usual Suspects,,,,,
58,167857,1994-10-01,Kobayashi,The Usual Suspects,,,,,
59,167857,1994-10-01,Edie Finneran,The Usual Suspects,,,,,
60,167857,1994-10-01,Dave Kujan,The Usual Suspects,,,,,
61,167857,1994-10-01,Dean Keaton,The Usual Suspects,,,,,
62,167857,1994-10-01,Michael McManus,The Usual Suspects,,,,,
63,167857,1994-10-01,Todd Hockney,The Usual Suspects,,,,,
64,6721185,1994-02-01,,Go Fish,,,,,
65,164387,1979-06-29,,...And Justice for All,,,,,
66,164387,1979-06-29,Arthur Kirkland,...And Justice for All,,,,,
67,164387,1979-06-29,,...And Justice for All,,,,,
68,164387,1979-06-29,,...And Justice for All,,,,,
69,164387,1979-06-29,,...And Justice for All,,,,,
70,164387,1979-06-29,,...And Justice for All,,,,,
71,164387,1979-06-29,,...And Justice for All,,,,,
72,164387,1979-06-29,,...And Justice for All,,,,,
73,164387,1979-06-29,Jay Porter,...And Justice for All,,,,,
74,164387,1979-06-29,Frank Bowers,...And Justice for All,,,,,
75,164387,1979-06-29,,...And Justice for All,,,,,
76,164388,1979-10-26,Bull Meechum,The Great Santini,,,,,
77,164388,1979-10-26,,The Great Santini,,,,,
78,164388,1979-10-26,,The Great Santini,,,,,
79,164388,1979-10-26,,The Great Santini,,,,,
80,22985953,1954-02-05,,Beachhead,,,,,
81,22985953,1954-02-05,Burke,Beachhead,,,,,
82,22985953,1954-02-05,,Beachhead,,,,,
83,22985953,1954-02-05,,Beachhead,,,,,
84,22985953,1954-02-05,,Beachhead,,,,,
85,22985953,1954-02-05,,Beachhead,,,,,
86,196176,1971-11-03,Chris Cawsey,Straw Dogs,,,,,
87,196176,1971-11-03,Henry Niles,Straw Dogs,,,,,
88,196176,1971-11-03,Amy Sumner,Straw Dogs,,,,,
89,196176,1971-11-03,David Sumner,Straw Dogs,,,,,
90,196176,1971-11-03,Major John Scott,Straw Dogs,,,,,
